Code,League,Season,Date,Home,Away,MatchID,Market,Side,AvgOdd,MarketP,RawP,CalP,Rel,N,Win,BestOdd,ExecAvg,ExecBest,WeekID,Year,Month,logit_market,logit_raw,diff,absdiff,ratio,logN,Code_cat,Market_cat,Side_cat,Pred,AvgNoHaircut,PSOdd,B365Odd,Pinnacle -2%,Bet365 -2%,EffectiveOdd,EV,Profit
F1,França - Ligue 1,2025,2025-08-31,Lyon,Marseille,F1|2025-08-31|Lyon|Marseille,1X2,A,2.38,0.3963633153144476,0.2185299406763725,0.2317583982211789,0.412325430340112,218,0,2.45,2.3324,2.401,2025-35,2025,8,-0.4206412479726675,-1.274253803906356,-0.177833374638075,0.177833374638075,0.5499499633061046,5.389071729816501,8,0,0,0.4421689797567158,2.38,2.43,2.45,2.3814,2.4010000000000002,2.4010000000000002,0.06164772039587474,-1.0
BRA,Brasileirão Série A,2025,2025-09-01,Internacional,Fortaleza,BRA|2025-09-01|Internacional|Fortaleza,1X2,H,1.62,0.5788927629900502,0.4937109221922809,0.5385257620278913,0.2029819127066168,241,1,1.66,1.5876,1.6267999999999998,2025-36,2025,9,0.3182297287086542,-0.0251576380168141,-0.0851818407977693,0.0851818407977693,0.8513831413356542,5.488937726156687,2,0,2,0.6429367954352299,1.62,1.62,1.62,1.5876000000000001,1.5876000000000001,1.5876000000000001,0.020726456432970997,0.5876000000000001
BRA,Brasileirão Série A,2025,2025-09-01,Sport Recife,Vasco,BRA|2025-09-01|Sport Recife|Vasco,1X2,H,2.41,0.3885321366292283,0.202761912713862,0.3074919624218224,0.1111423891451174,204,0,2.5,2.3618,2.45,2025-36,2025,9,-0.4534865138251077,-1.3691209165739942,-0.1857702239153663,0.1857702239153663,0.5205267900831982,5.3230099791384085,2,0,2,0.4128215890204526,2.41,2.47,2.5,2.4206000000000003,2.45,2.45,0.011412893100108956,-1.0
SP2,Espanha - Segunda Divisão,2025,2025-09-01,Huesca,Eibar,SP2|2025-09-01|Huesca|Eibar,1X2,H,2.64,0.3487341854616998,0.2667252097096219,0.3780616796460067,0.1447999999999999,362,1,2.82,2.5872,2.7636,2025-36,2025,9,-0.624607890371876,-1.01130156475308,-0.0820089757520779,0.0820089757520779,0.7626512385613833,5.8944028342648505,20,0,2,0.3736071461052118,2.64,2.59,2.82,2.5382,2.7636,2.7636,0.032500708976363146,1.7635999999999998
SP2,Espanha - Segunda Divisão,2025,2025-09-05,Albacete,Mirandes,SP2|2025-09-05|Albacete|Mirandes,OU25,O25,2.07,0.449468085106383,0.6242538034582897,0.569103722955704,0.6335582769595743,4288,1,2.15,2.0286,2.107,2025-36,2025,9,-0.2028200783422955,0.5076431157149632,0.1747857183519067,0.1747857183519067,1.3857891915047995,8.36380888451688,20,1,3,0.4923042290261391,2.07,2.21,2.1,2.1658,2.058,2.058,0.01316210333579404,1.0579999999999998
ARG,Argentina - Primera Division,2025,2025-09-13,Estudiantes L.P.,River Plate,ARG|2025-09-13|Estudiantes L.P.|River Plate,1X2,H,2.96,0.315,0.1608493244116824,0.2769352676214588,0.1,112,0,3.2,2.9008,3.136,2025-37,2025,9,-0.7768461994365923,-1.6519222262780069,-0.1541506755883176,0.1541506755883176,0.5090168494040582,4.727387818712341,0,0,2,0.3763572124908554,2.96,2.92,2.82,2.8615999999999997,2.7636,2.7636,0.04010079243972786,-1.0
D2,Alemanha - 2. Bundesliga,2025,2025-09-13,Schalke 04,Holstein Kiel,D2|2025-09-13|Schalke 04|Holstein Kiel,1X2,H,2.17,0.427616674218396,0.1930361055414264,0.2205711875068179,0.1,71,0,2.25,2.1266,2.205,2025-37,2025,9,-0.2915817436087836,-1.4304016800685473,-0.2345805686769696,0.2345805686769696,0.4503700326018287,4.276666119016055,5,0,2,0.4724863171957859,2.17,2.27,2.25,2.2246,2.205,2.205,0.04183232941670778,-1.0
B1,Bélgica - Pro League,2025,2025-09-14,Antwerp,Gent,B1|2025-09-14|Antwerp|Gent,1X2,A,2.85,0.3288116979520449,0.2365349346046728,0.1919482694627359,0.2736431297207847,202,1,3.0,2.793,2.94,2025-37,2025,9,-0.7135644863240884,-1.171771455691044,-0.0922767633473721,0.0922767633473721,0.7171817618156932,5.313205979041787,1,0,0,0.3727001665076571,2.85,2.98,3.0,2.9204,2.94,2.94,0.09573848953251174,1.94
SP1,Espanha - La Liga,2025,2025-09-14,Levante,Betis,SP1|2025-09-14|Levante|Betis,OU25,U25,2.05,0.4591029023746703,0.2470319128140607,0.32507460541917,0.2820935909559593,693,0,2.15,2.009,2.107,2025-37,2025,9,-0.1639546799238789,-1.1145053160481126,-0.2120709895606095,0.2120709895606095,0.5369057911590787,6.542471960506805,19,1,4,0.5047664568990635,2.05,2.15,2.1,2.1069999999999998,2.058,2.058,0.03880936829827264,-1.0
B1,Bélgica - Pro League,2025,2025-09-19,Gent,Dender,B1|2025-09-19|Gent|Dender,1X2,H,1.64,0.5699936472929077,0.3395544456136268,0.3772458716577182,0.1952846219622525,193,1,1.7,1.6072,1.666,2025-38,2025,9,0.2818252333504253,-0.6652803855216295,-0.2304392016792809,0.2304392016792809,0.5946728956153211,5.267858159063328,1,0,2,0.6482215606917124,1.64,1.61,1.67,1.5778,1.6365999999999998,1.6365999999999998,0.06087940622805643,0.6365999999999998
