Market,Side,MPBin,Sample,Wins,MarketMean,EmpiricalHit,AverageOdd,CalibratedMarketP,Gap,Reliability,Level,Code
1X2,D,0.15,82,11,0.1630979041392773,0.13414634146341464,5.857926829268293,0.152865024227981,-0.028951562675862658,0.1,LEAGUE,F1
1X2,D,0.175,100,19,0.18839454060651536,0.19,5.0689,0.18903672436390923,0.0016054593934846373,0.12332764646512016,LEAGUE,F1
1X2,D,0.2,152,32,0.21276698941658315,0.21052631578947367,4.486513157894737,0.21163923315393202,-0.002240673627109474,0.18645226675707666,LEAGUE,F1
1X2,D,0.225,232,58,0.23820237732560876,0.25,4.009224137931034,0.24536742565141703,0.011797622674391245,0.2614890785368878,LEAGUE,F1
1X2,D,0.25,459,125,0.26345312727025527,0.27233115468409586,3.6237254901960783,0.2701444484245292,0.008878027413840583,0.5313019314275748,LEAGUE,F1
1X2,D,0.275,651,186,0.2872907977971284,0.2857142857142857,3.320337941628264,0.28600951269609143,-0.001576512082842707,0.8030592774382229,LEAGUE,F1
1X2,D,0.3,308,98,0.30935702673494664,0.3181818181818182,3.0803246753246754,0.31529160264244976,0.008824791446871538,0.35668712744128717,LEAGUE,F1
1X2,H,0.275,90,27,0.2885339481673808,0.3,3.3065555555555552,0.292833717604613,0.011466051832619173,0.10175057640691952,LEAGUE,F1
1X2,H,0.3,103,26,0.3119155579824897,0.2524271844660194,3.0575728155339807,0.28769697113586346,-0.059488373516470294,0.1,LEAGUE,F1
1X2,H,0.325,104,34,0.33770658191943215,0.3269230769230769,2.822403846153846,0.33329128853509776,-0.01078350499635522,0.11831786958728185,LEAGUE,F1
1X2,H,0.35,114,39,0.3617873065280776,0.34210526315789475,2.634912280701754,0.3532882423454986,-0.019682043370182867,0.11912757349790784,LEAGUE,F1
1X2,H,0.375,142,54,0.3880351570858442,0.38028169014084506,2.4577464788732395,0.3842646354893035,-0.007753466944999121,0.16603133014385546,LEAGUE,F1
1X2,H,0.4,121,50,0.4126776057650233,0.4132231404958678,2.3106611570247932,0.4129211840027804,0.0005455347308444547,0.15056239893299814,LEAGUE,F1
1X2,H,0.425,124,56,0.43706151445335445,0.45161290322580644,2.1816129032258065,0.44364681448176335,0.01455138877245199,0.13620445616891616,LEAGUE,F1
1X2,H,0.45,130,59,0.4619320842216419,0.45384615384615384,2.0646153846153843,0.45817790226159394,-0.008085930375488048,0.1515503026165266,LEAGUE,F1
1X2,H,0.475,111,53,0.4870138730276372,0.4774774774774775,1.958108108108108,0.4829581645752704,-0.009536395550159726,0.12772354264512784,LEAGUE,F1
1X2,H,0.5,102,52,0.5124849037836593,0.5098039215686274,1.8612745098039216,0.5113997443156701,-0.0026809822150318796,0.12465145639652862,LEAGUE,F1
1X2,H,0.525,84,45,0.5375428018514442,0.5357142857142857,1.774642857142857,0.5368864114432335,-0.001828516137158509,0.1034000483799863,LEAGUE,F1
OU25,O25,0.375,121,51,0.38754193062201925,0.4214876033057851,2.446280991735537,0.40269848558414345,0.03394567268376586,0.1084643083881701,LEAGUE,F1
OU25,O25,0.4,192,71,0.41320257364372903,0.3697916666666667,2.2973958333333333,0.38883153814783433,-0.04341090697706235,0.1531781860458753,LEAGUE,F1
OU25,O25,0.425,220,97,0.43729421098104543,0.4409090909090909,2.173227272727273,0.43944359904636976,0.003614879928045489,0.26671590016489577,LEAGUE,F1
OU25,O25,0.45,239,106,0.46179305383209895,0.4435146443514644,2.060836820083682,0.4505628742283158,-0.018278409480634528,0.2532443763971703,LEAGUE,F1
OU25,O25,0.475,253,126,0.4862504898025094,0.4980237154150198,1.9601581027667985,0.49364162151458163,0.011773225612510374,0.28522264500036326,LEAGUE,F1
OU25,O25,0.5,208,109,0.5111358224507614,0.5240384615384616,1.8640384615384618,0.5186323278424978,0.012902639087700174,0.2320442819766496,LEAGUE,F1
OU25,O25,0.525,177,96,0.5367410424140575,0.5423728813559322,1.7742937853107346,0.5397894689972741,0.0056318389418746895,0.21086629695091855,LEAGUE,F1
OU25,O25,0.55,142,83,0.5617656542573976,0.5845070422535211,1.6946478873239437,0.5728248223924988,0.022741387996123574,0.14386169692240053,LEAGUE,F1
OU25,O25,0.575,132,83,0.5865236763078086,0.6287878787878788,1.6201515151515153,0.606306920021884,0.042264202480070234,0.10688672158990342,LEAGUE,F1
OU25,O25,0.6,85,52,0.6114225978882225,0.611764705882353,1.551294117647059,0.6115463390775888,0.00034210799413048054,0.10594709188019696,LEAGUE,F1
OU25,U25,0.375,86,34,0.3887102230174545,0.3953488372093023,2.4405813953488376,0.3911293790365177,0.0066386141918478025,0.101552908119803,LEAGUE,F1
OU25,U25,0.4,131,48,0.4135791963921317,0.366412213740458,2.2980152671755727,0.39159031835878916,-0.04716698265167368,0.1,LEAGUE,F1
OU25,U25,0.425,142,59,0.4382343457426024,0.4154929577464789,2.172605633802817,0.42717517760750123,-0.02274138799612352,0.1438616969224006,LEAGUE,F1
OU25,U25,0.45,177,81,0.4632589575859425,0.4576271186440678,2.0558757062146893,0.4602105310027259,-0.0056318389418746895,0.21086629695091855,LEAGUE,F1
OU25,U25,0.475,193,92,0.48799869912042293,0.47668393782383417,1.9521761658031087,0.48163208416345027,-0.01131476129658876,0.218502615309983,LEAGUE,F1
OU25,U25,0.5,268,134,0.5129799480595714,0.5,1.8581716417910448,0.5046578760979323,-0.012979948059571367,0.29876431166702994,LEAGUE,F1
OU25,U25,0.525,239,133,0.538206946167901,0.5564853556485355,1.7681589958158996,0.5494371257716841,0.018278409480634528,0.2532443763971703,LEAGUE,F1
OU25,U25,0.55,220,123,0.5627057890189545,0.5590909090909091,1.6887272727272726,0.5605564009536302,-0.0036148799280454336,0.26671590016489594,LEAGUE,F1
OU25,U25,0.575,196,121,0.5870668666347144,0.6173469387755102,1.6167857142857143,0.604219739870541,0.030280072140795755,0.18317818604587532,LEAGUE,F1
OU25,U25,0.6,117,70,0.612883986279792,0.5982905982905983,1.5464957264957264,0.6064891308687971,-0.01459338798919374,0.1284643083881701,LEAGUE,F1
1X2,D,0.225,113,20,0.23776247766520184,0.17699115044247787,3.948141592920354,0.2116516032311037,-0.060771327222723964,0.1,LEAGUE,FIN
1X2,D,0.25,235,52,0.2637348250218444,0.22127659574468084,3.554808510638298,0.2378187629955238,-0.042458229277163584,0.18981579291527664,LEAGUE,FIN
1X2,D,0.275,371,113,0.287180112269317,0.3045822102425876,3.2640970350404315,0.2995720092905903,0.01740209797327058,0.39649814220746477,LEAGUE,FIN
1X2,D,0.3,128,36,0.30840680573623697,0.28125,3.0396875,0.29590295273537964,-0.027156805736236966,0.12379092568501739,LEAGUE,FIN
1X2,A,0.175,80,15,0.18740443604909504,0.1875,4.97625,0.1874376756841924,9.556395090495884e-05,0.1,LEAGUE,G1
1X2,A,0.2,88,15,0.21400239174722938,0.17045454545454544,4.362727272727273,0.19790066706758153,-0.043547846292683934,0.1,LEAGUE,G1
1X2,A,0.225,116,30,0.23756645767065362,0.25862068965517243,3.931206896551724,0.2467480024458573,0.021054231984518806,0.1195594696853731,LEAGUE,G1
