Market,Side,Bin,Sample,Wins,RawMean,EmpiricalHit,CalibratedProbability,CalibrationGap,Reliability,Level,Code
OU25,O25,0.5,242,126,0.5252064891065015,0.5206611570247934,0.5217904320761494,0.004545332081708042,0.469333728483022,LEAGUE,SWE
OU25,O25,0.55,191,110,0.5758582854665647,0.5759162303664922,0.5758991248609785,5.794489992749785e-05,0.38185243365485133,LEAGUE,SWE
OU25,O25,0.6,146,85,0.6232922681183083,0.5821917808219178,0.596740625882587,0.04110048729639049,0.21199105139635982,LEAGUE,SWE
OU25,O25,0.65,94,59,0.6728880098385553,0.6276595744680851,0.6484542573970369,0.04522843537047028,0.13131369433567724,LEAGUE,SWE
OU25,U25,0.3,94,35,0.3271119901614447,0.3723404255319149,0.3515457426029631,0.045228435370470166,0.13131369433567738,LEAGUE,SWE
OU25,U25,0.35,146,61,0.37670773188169177,0.4178082191780822,0.403259374117413,0.04110048729639043,0.21199105139635993,LEAGUE,SWE
OU25,U25,0.4,191,81,0.4241417145334354,0.42408376963350786,0.42410087513902156,5.794489992755336e-05,0.38185243365485116,LEAGUE,SWE
OU25,U25,0.45,242,116,0.4747935108934985,0.4793388429752066,0.47820956792385055,0.004545332081708098,0.46933372848302185,LEAGUE,SWE
OU25,U25,0.5,257,121,0.5238267446786776,0.4708171206225681,0.4834010076388552,0.05300962405610954,0.332353688234398,LEAGUE,SWE
OU25,U25,0.55,195,101,0.5742534746145435,0.517948717948718,0.5343282835242308,0.05630475666582546,0.2436076326688538,LEAGUE,SWE
OU25,U25,0.6,114,69,0.6217338720540603,0.6052631578947368,0.6120552049707465,0.01647071415932344,0.20296451447782837,LEAGUE,SWE
OU25,U25,0.65,66,40,0.6719218243648751,0.6060606060606061,0.6421489448574658,0.06586121830426905,0.1,LEAGUE,SWE
1X2,A,0.1,109,24,0.1273925391034691,0.22018348623853212,0.18090689485861125,0.09279094713506303,0.1,LEAGUE,T1
1X2,A,0.15,182,19,0.1754549275361945,0.1043956043956044,0.12609310764463955,0.07105932314059009,0.19156270917883472,LEAGUE,T1
1X2,A,0.2,268,53,0.22400860906657455,0.19776119402985073,0.2037950825440401,0.026247415036723815,0.4422092369354403,LEAGUE,T1
1X2,A,0.25,289,70,0.2757479429913374,0.2422145328719723,0.24948464888701083,0.033533410119365115,0.44878459300671303,LEAGUE,T1
1X2,A,0.3,295,73,0.32492756066479783,0.24745762711864408,0.2639845462751569,0.07746993354615375,0.28528492805179523,LEAGUE,T1
1X2,A,0.35,242,85,0.3751886763095881,0.3512396694214876,0.35718973324461817,0.023949006888100477,0.40672453777439577,LEAGUE,T1
1X2,A,0.4,215,69,0.42437669804616807,0.3209302325581395,0.3489835113345541,0.10344646548802855,0.13345346560098478,LEAGUE,T1
1X2,A,0.45,134,55,0.472876294453547,0.41044776119402987,0.43378553063684,0.06242853325951714,0.15646102057632938,LEAGUE,T1
1X2,A,0.5,116,55,0.5249760443419389,0.47413793103448276,0.49488818136405666,0.050838113307456134,0.15337038475113451,LEAGUE,T1
1X2,A,0.55,71,41,0.5744066694621979,0.5774647887323944,0.5758445930925551,0.003058119270196502,0.13910498042421396,LEAGUE,T1
1X2,D,0.15,123,17,0.18107232987088337,0.13821138211382114,0.15510239600822992,0.04286094775706223,0.1757080456784179,LEAGUE,T1
1X2,D,0.2,630,143,0.2314435179196218,0.22698412698412698,0.22748659356840809,0.004459390935494828,0.9702707270967011,LEAGUE,T1
1X2,D,0.25,1045,299,0.27288003957690743,0.2861244019138756,0.28518258059213564,0.013244362336968185,0.9117042510868788,LEAGUE,T1
