Level,Code,Market,Side,ProbBin,Sample,Wins,MeanPred,HitRate,Brier,CalibrationGap
LIGA,SP2,OU25,U25,0.45,133,55,0.4760096697044238,0.41353383458646614,0.24803170039112676,0.06247583511795768
LIGA,SP2,OU25,U25,0.5,283,149,0.5277754047904859,0.5265017667844523,0.24909978610446776,0.0012736380060336394
LIGA,SP2,OU25,U25,0.55,438,255,0.5755171812950882,0.5821917808219178,0.24240992474945472,0.006674599526829583
LIGA,SP2,OU25,U25,0.6,394,245,0.6233185144911236,0.6218274111675127,0.23534807821927062,0.0014911033236109095
LIGA,SP2,OU25,U25,0.65,297,192,0.6722421677657875,0.6464646464646465,0.2296601210927496,0.02577752130114097
LIGA,SP2,OU25,U25,0.7,126,87,0.7179772117021411,0.6904761904761905,0.21584405977004292,0.02750102122595066
LIGA,SP2,OU25,U25,0.75,20,16,0.7688066618320983,0.8,0.1630383323232334,0.031193338167901707
LIGA,SP2,OU25,U25,0.8,1,1,0.8048752042415002,1.0,0.03807368591979628,0.19512479575849984
LIGA,SWE,1X2,A,0.0,15,0,0.04456609257031259,0.0,0.002000755823383378,0.04456609257031259
LIGA,SWE,1X2,A,0.05,59,6,0.07742558673623577,0.1016949152542373,0.09205589779875747,0.024269328518001523
LIGA,SWE,1X2,A,0.1,95,13,0.1276480468786594,0.1368421052631579,0.11794172427444923,0.009194058384498494
LIGA,SWE,1X2,A,0.15,91,20,0.1768058778524988,0.21978021978021978,0.172983681370339,0.04297434192772098
LIGA,SWE,1X2,A,0.2,111,27,0.22185130624121283,0.24324324324324326,0.18333822489256985,0.02139193700203043
LIGA,SWE,1X2,A,0.25,108,33,0.27479611076220034,0.3055555555555556,0.21078423398023427,0.03075944479335524
LIGA,SWE,1X2,A,0.3,108,44,0.32454554783585754,0.4074074074074074,0.2501103797169904,0.08286185957154985
LIGA,SWE,1X2,A,0.35,110,51,0.3724245219666868,0.4636363636363636,0.2569815899019935,0.09121184166967683
LIGA,SWE,1X2,A,0.4,87,42,0.4235364655974148,0.4827586206896552,0.25069849918412807,0.05922215509224038
LIGA,SWE,1X2,A,0.45,61,30,0.47253427858550257,0.4918032786885246,0.25268889770696307,0.019269000103022016
LIGA,SWE,1X2,A,0.5,32,13,0.5250449435107698,0.40625,0.2552892316293237,0.1187949435107698
LIGA,SWE,1X2,A,0.55,25,8,0.5701814866578363,0.32,0.2794713208584407,0.2501814866578363
LIGA,SWE,1X2,A,0.6,14,11,0.6239758366693545,0.7857142857142857,0.18898125153622528,0.16173844904493118
LIGA,SWE,1X2,A,0.65,15,13,0.675365571259231,0.8666666666666667,0.15493172763661883,0.19130109540743567
LIGA,SWE,1X2,A,0.7,8,8,0.7199060114746028,1.0,0.07857181500021392,0.28009398852539724
LIGA,SWE,1X2,A,0.75,4,3,0.7683730316910079,0.75,0.181655649737535,0.0183730316910079
LIGA,SWE,1X2,A,0.8,1,1,0.8021886433616796,1.0,0.03912933281509278,0.1978113566383204
LIGA,SWE,1X2,D,0.05,10,0,0.07581633136746346,0.0,0.0059087731942986475,0.07581633136746346
LIGA,SWE,1X2,D,0.1,42,9,0.13422435868331503,0.21428571428571427,0.17408636562013383,0.08006135560239924
LIGA,SWE,1X2,D,0.15,107,14,0.17895512369919198,0.1308411214953271,0.11500649402113779,0.048114002203864886
LIGA,SWE,1X2,D,0.2,248,60,0.22960282850226948,0.24193548387096775,0.18386200566005723,0.012332655368698264
LIGA,SWE,1X2,D,0.25,393,85,0.2739887457864039,0.21628498727735368,0.17249642932606626,0.05770375850905024
LIGA,SWE,1X2,D,0.3,143,39,0.31733608400254765,0.2727272727272727,0.19968712963849927,0.04460881127527494
LIGA,SWE,1X2,D,0.35,4,3,0.37655813655049664,0.75,0.32662814199935636,0.37344186344950336
LIGA,SWE,1X2,H,0.05,7,0,0.08623795583205114,0.0,0.007453807748426287,0.08623795583205114
LIGA,SWE,1X2,H,0.1,24,3,0.13093006957625727,0.125,0.11184932546128128,0.005930069576257274
LIGA,SWE,1X2,H,0.15,28,7,0.17912077934080892,0.25,0.18868862947183715,0.07087922065919108
LIGA,SWE,1X2,H,0.2,59,22,0.22411410883392024,0.3728813559322034,0.2569069384904013,0.14876724709828315
LIGA,SWE,1X2,H,0.25,82,21,0.2738107038302643,0.25609756097560976,0.19287595059966944,0.01771314285465453
LIGA,SWE,1X2,H,0.3,122,32,0.32807694548841504,0.26229508196721313,0.198280344350732,0.06578186352120191
LIGA,SWE,1X2,H,0.35,109,39,0.3739496615852178,0.3577981651376147,0.22949353632076258,0.01615149644760311
LIGA,SWE,1X2,H,0.4,101,35,0.4245290190135227,0.3465346534653465,0.23168459031639618,0.07799436554817618
LIGA,SWE,1X2,H,0.45,80,37,0.47353853469810697,0.4625,0.2484215685018598,0.01103853469810695
LIGA,SWE,1X2,H,0.5,70,45,0.5265185231058639,0.6428571428571429,0.24446179511991153,0.11633861975127902
LIGA,SWE,1X2,H,0.55,71,40,0.5745660232132733,0.5633802816901409,0.24843013024975055,0.011185741523132453
LIGA,SWE,1X2,H,0.6,45,24,0.6269499146323837,0.5333333333333333,0.2548332397805544,0.09361658129905037
LIGA,SWE,1X2,H,0.65,45,30,0.6722601510963582,0.6666666666666666,0.22347928625249647,0.005593484429691542
LIGA,SWE,1X2,H,0.7,31,19,0.7245661245904613,0.6129032258064516,0.2521949971274654,0.1116628987840097
LIGA,SWE,1X2,H,0.75,32,27,0.7730313124771975,0.84375,0.13608591265733766,0.07071868752280253
LIGA,SWE,1X2,H,0.8,31,24,0.8241477356419493,0.7741935483870968,0.17769959134298194,0.04995418725485257
LIGA,SWE,1X2,H,0.85,10,9,0.8728455997929674,0.9,0.08695147200189648,0.027154400207032636
LIGA,T1,1X2,A,0.0,26,1,0.042297988274162784,0.038461538461538464,0.03662460522195764,0.0038364498126243207
LIGA,T1,1X2,A,0.05,96,3,0.07646103572070882,0.03125,0.03145772364076058,0.04521103572070882
LIGA,T1,1X2,A,0.1,114,17,0.12679120602720706,0.14912280701754385,0.1286630891691369,0.022331600990336792
LIGA,T1,1X2,A,0.15,164,20,0.1787766024799744,0.12195121951219512,0.11098173492753108,0.05682538296777928
LIGA,T1,1X2,A,0.2,198,37,0.22510253259561655,0.18686868686868688,0.15317038521371074,0.03823384572692967
LIGA,T1,1X2,A,0.25,155,35,0.2723311842077805,0.22580645161290322,0.17760053200966835,0.0465247325948773
LIGA,T1,1X2,A,0.3,135,43,0.3283721636226837,0.31851851851851853,0.21732377301856726,0.009853645104165143
LIGA,T1,1X2,A,0.35,107,31,0.3717866560359856,0.2897196261682243,0.21296411399193543,0.08206702986776132
LIGA,T1,1X2,A,0.4,79,39,0.42570197413635547,0.4936708860759494,0.2517490261389003,0.06796891193959392
LIGA,T1,1X2,A,0.45,57,22,0.47300648878989304,0.38596491228070173,0.24390426810527788,0.08704157650919131
LIGA,T1,1X2,A,0.5,43,27,0.5254061653663733,0.627906976744186,0.24326458376100416,0.10250081137781275
LIGA,T1,1X2,A,0.55,33,24,0.5754314412847652,0.7272727272727273,0.22047996620878138,0.1518412859879621
LIGA,T1,1X2,A,0.6,19,17,0.6263826535737441,0.8947368421052632,0.16341533798594993,0.26835418853151904
LIGA,T1,1X2,A,0.65,23,16,0.678487269295283,0.6956521739130435,0.20633017596931985,0.017164904617760435
LIGA,T1,1X2,A,0.7,30,26,0.7246202539971879,0.8666666666666667,0.13490907669463353,0.14204641266947882
LIGA,T1,1X2,A,0.75,11,10,0.7775546711141529,0.9090909090909091,0.10379082869729492,0.13153623797675618
LIGA,T1,1X2,A,0.8,10,6,0.8287908903611154,0.6,0.29669091858778185,0.22879089036111544
LIGA,T1,1X2,A,0.85,3,3,0.8755554945526668,1.0,0.015697030474194396,0.12444450544733321
LIGA,T1,1X2,D,0.0,2,0,0.0330080410255433,0.0,0.001089978390673868,0.0330080410255433
LIGA,T1,1X2,D,0.05,35,5,0.08237571237075676,0.14285714285714285,0.1247485145804248,0.06048143048638609
LIGA,T1,1X2,D,0.1,107,15,0.12725705398548845,0.14018691588785046,0.11982261553113284,0.012929861902362005
LIGA,T1,1X2,D,0.15,196,29,0.1781984339702776,0.14795918367346939,0.1275608819069359,0.030239250296808212
LIGA,T1,1X2,D,0.2,224,57,0.23166330891247697,0.2544642857142857,0.18990897688615102,0.02280097680180873
LIGA,T1,1X2,D,0.25,552,162,0.2796038340693656,0.29347826086956524,0.2071230716999668,0.013874426800199624
LIGA,T1,1X2,D,0.3,190,63,0.3100219536175808,0.33157894736842103,0.22257760009566324,0.021556993750840248
LIGA,T1,1X2,D,0.35,1,1,0.3813163901097522,1.0,0.3827694091468282,0.6186836098902477
LIGA,T1,1X2,H,0.0,3,1,0.04453620517710443,0.3333333333333333,0.3048489206288981,0.2887971281562289
LIGA,T1,1X2,H,0.05,14,0,0.07687012527198167,0.0,0.006077771270532951,0.07687012527198167
LIGA,T1,1X2,H,0.1,55,2,0.12778131099724685,0.03636363636363636,0.04346623635981749,0.09141767463361049
LIGA,T1,1X2,H,0.15,64,5,0.17615788133068225,0.078125,0.0816888368405662,0.09803288133068225
LIGA,T1,1X2,H,0.2,58,13,0.22488675207917108,0.22413793103448276,0.1732896374762968,0.0007488210446883192
LIGA,T1,1X2,H,0.25,86,23,0.2742834156542366,0.26744186046511625,0.19330431314052668,0.00684155518912033
LIGA,T1,1X2,H,0.3,130,44,0.32681645323971986,0.3384615384615385,0.22496950535657093,0.011645085221818618
LIGA,T1,1X2,H,0.35,133,51,0.37240800826041703,0.38345864661654133,0.23631819003481622,0.011050638356124298
LIGA,T1,1X2,H,0.4,128,58,0.42859213996122425,0.453125,0.24988736346617502,0.02453286003877575
LIGA,T1,1X2,H,0.45,165,89,0.47381688566814906,0.5393939393939394,0.25300930446153375,0.06557705372579037
LIGA,T1,1X2,H,0.5,135,71,0.5243733287527008,0.5259259259259259,0.2511326853626266,0.0015525971732250898
LIGA,T1,1X2,H,0.55,84,51,0.5729061736187238,0.6071428571428571,0.24208886666805393,0.03423668352413334
LIGA,T1,1X2,H,0.6,41,30,0.6272459917349363,0.7317073170731707,0.20469384109697586,0.10446132533823438
LIGA,T1,1X2,H,0.65,38,24,0.6768847096421983,0.631578947368421,0.23659825630249007,0.04530576227377725
